data_collection_reference_id,web_resource_reference_id,priority_order
dong_antero,https://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,0
dong_retro,https://download.brainimagelibrary.org/biccn/dong/retrograde/,0
dong_trio,https://download.brainimagelibrary.org/biccn/dong/trio/,0
dulac_hyp_sn_10xv2,https://assets.nemoarchive.org/dat-4xq7q5j,0
ecker_hu_DNAseq,https://assets.nemoarchive.org/dat-a6v2v36,0
ecker_hu_sn_ATACseq,https://assets.nemoarchive.org/dat-d6r90fb,0
ecker_hu_sn_mCseq,https://assets.nemoarchive.org/dat-fcr7gr0,0
ecker_sn_ATACseq,https://assets.nemoarchive.org/dat-wywv153,0
ecker_sn_mCseq,https://assets.nemoarchive.org/dat-m5wqy8t,0
ecker_sn_mCseq_retro,https://assets.nemoarchive.org/dat-m21bzvo,0
ecker_trio,https://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,0
feng_fish,https://download.brainimagelibrary.org/biccn/feng/fish/,0
feng_morph,https://download.brainimagelibrary.org/biccn/feng/morph/,0
feng_sn_10xv3,https://assets.nemoarchive.org/dat-7jxfmkh,0
feng_sn_dropseq,https://assets.nemoarchive.org/dat-knrjpcj,0
fischl_lsfm,https://dandiarchive.org/dandiset/000026/,0
fischl_mri,https://gui.dandiarchive.org/#/dandiset/000026,0
fischl_oct,https://gui.dandiarchive.org/#/dandiset/000026,0
huang_antero,https://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,0
huang_fmost,https://download.brainimagelibrary.org/biccn/huang/fmost/,0
huang_fmost_cells,https://download.brainimagelibrary.org/biccn/huang/fmost/,0
huang_pn_bulk_SSv4,https://assets.nemoarchive.org/dat-s82jegu,0
huang_pn_sn_10xv2,https://assets.nemoarchive.org/dat-mq52tet,0
huang_pn_sn_10xv3,https://assets.nemoarchive.org/dat-pe2ejct,0
huang_retro,https://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,0
huang_sn_10xv2,https://assets.nemoarchive.org/dat-vutwbqm,0
huang_sn_10xv3,https://assets.nemoarchive.org/dat-svco5za,0
huang_stpt_conn,https://download.brainimagelibrary.org/biccn/huang/connectivity/anterograde/,0
huang_stpt_count,https://download.brainimagelibrary.org/biccn/huang/cellcounting/,0
HumanM110x,https://celltypes.brain-map.org/rnaseq/human_m1_10x,0
human_cortex_SS4_counts,https://celltypes.brain-map.org/rnaseq/human_ctx_smart-seq,0
human_cortex_SS4_counts,https://portal.brain-map.org/atlases-and-data/rnaseq/human-multiple-cortical-areas-smart-seq,1
human_cortex_SS4_Open_GRU,https://assets.nemoarchive.org/dat-72qka5t,0
human_cortex_SS4_restricted_GRU,https://assets.nemoarchive.org/dat-2c8otht,0
human_cortex_SS4_restricted_limited,https://assets.nemoarchive.org/dat-swzf4kc,0
kriegstein_sc_10xv2,https://assets.nemoarchive.org/dat-t4xnmho,0
kriegstein_sc_10xv3,https://assets.nemoarchive.org/dat-qf43d3z,0
kriegstein_sc_ATACseq,https://assets.nemoarchive.org/dat-gnot1gb,0
kriegstein_sc_ATACseq,https://assets.nemoarchive.org/dat-x54vktk,1
kriegstein_sn_10xv2,https://assets.nemoarchive.org/dat-b3brzfa,0
lein_sn_10xv2,https://assets.nemoarchive.org/dat-ci7q9k4,0
mueller_mouselight, https://download.brainimagelibrary.org/biccn/mueller/mouselight/,0
nowakowski_evobc,https://assets.nemoarchive.org/dat-8ht5n0a,0
nowakowski_pndev_10xv3,https://assets.nemoarchive.org/dat-eojj32d,0
osten_stpt,https://download.brainimagelibrary.org/biccn/osten/cellcounting/,0
regev_cisi,https://download.brainimagelibrary.org/biccn/regev/cisi,0
tasic_ATACseq,https://assets.nemoarchive.org/dat-khcsjuk,0
tasic_stpt,https://download.brainimagelibrary.org/biccn/tasic/stpt/,0
tilgner_sc_p56,https://assets.nemoarchive.org/dat-syahgjf,0
yang_morf_cells,https://download.brainimagelibrary.org/biccn/yang/morf/cells/,0
yang_MORF_confocal,https://download.brainimagelibrary.org/biccn/yang/morf/confocal/,0
zeng_anderson_sc_10xv2,https://assets.nemoarchive.org/dat-53ke10p,0
zeng_expr_char,https://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,0
zeng_fmost,https://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,0
zeng_fmost_cells,https://download.brainimagelibrary.org/b4/d4/b4d4211078a67217/,0
zeng_mouselight,https://download.brainimagelibrary.org/biccn/zeng/mouselight/,0
zeng_retro,https://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,0
zeng_sc_10xv2,https://assets.nemoarchive.org/dat-5ue6x8t,0
zeng_sc_10xv3,https://assets.nemoarchive.org/dat-kjseyhn,0
zeng_sc_SSv4,https://assets.nemoarchive.org/dat-8zpo593,0
zeng_sn_10xv2,https://assets.nemoarchive.org/dat-zsm81og,0
zeng_sn_10xv3,https://assets.nemoarchive.org/dat-xviiont,0
zeng_sn_SSv4,https://assets.nemoarchive.org/dat-hixtgqk,0
zeng_tolias_pseq_e,http://identifiers.org/DANDI:000008,0
zeng_tolias_pseq_m,https://download.brainimagelibrary.org/biccn/zeng/tolias/pseq/morph/,0
zeng_tolias_pseq_t,https://assets.nemoarchive.org/dat-4v55t0q,0
zhangK_cj_snareseq_AC,https://assets.nemoarchive.org/dat-y0c2zo2,0
zhangK_cj_snareseq_R,https://assets.nemoarchive.org/dat-vptepqt,0
zhangK_hs_snareseq_R,https://assets.nemoarchive.org/dat-t5v43si,0
zhangl_anatomy,https://download.brainimagelibrary.org/biccn/zhangl/anatomy,0
zhangl_kz_omics,https://assets.nemoarchive.org/dat-g4e4icw,0
zhangl_seqfish,https://download.brainimagelibrary.org/biccn/zhangl/seqfish/,0
dulac_pag_sn_10xv2,https://assets.nemoarchive.org/dat-diw5xr1,0
mop_evo_pseq_e,https://dandiarchive.org/dandiset/000043/,0
zhangl_ephys,https://gui.dandiarchive.org/#/dandiset/000117,0
zhuang_dulac_merfish_MOE,https://download.brainimagelibrary.org/3d/91/3d9109168823fe39/,0
zhuang_dulac_merfish_PAG,https://download.brainimagelibrary.org/0a/46/0a4681ec1919cda5,0
zhuang_dulac_merfish_PAG_2,https://download.brainimagelibrary.org/cb/6d/cb6defa2eab96ddb/,0
zhuang_merfish_M1,https://download.brainimagelibrary.org/02/26/02265ddb0dae51de,0
zhuang_merfish_MOp,https://download.brainimagelibrary.org/cf/1c/cf1c1a431ef8d021,0
zhuang_merfish_NAc,https://download.brainimagelibrary.org/fc/4c/fc4c2570c3711952/,0
